country,state/province,change_date,changed_field,changed_from,changed_to
France,All,06/03/2020,distance_saving_instructions,NONE,1
France,All,17/03/2020,public_transport_restriction,0,1
France,All,18/03/2020,unnecessary_business,0,1
France,All,12/03/2020,limit_retirement_homes_visits,FALSE,TRUE
France,All,16/03/2020,educational_institutions,0,2
France,All,13/03/2020,congregation_restriction,1000,100
France,All,08/03/2020,congregation_restriction,5000,1000
France,All,29/02/2020,congregation_restriction,NONE,5000
France,Haute-Savoie,08/02/2020,exposure_to_patient_isolation,FALSE,TRUE
France,All,02/03/2020,enter_area_isolation,FALSE,TRUE
France,All,06/03/2020,risk_groups_isolation,FALSE,TRUE
France,All,06/03/2020,exposure_to_patient_isolation,FALSE,TRUE
France,All,06/03/2020,appearance_of_symptoms_isolation,FALSE,TRUE
France,All,16/03/2020,fines_and_incarceration,FALSE,TRUE
France,All,17/03/2020,partial_quarantine,FALSE,TRUE
France,All,17/03/2020,prohibition_entering_country,FALSE,TRUE
France,All,17/03/2020,police_army_enforcement,FALSE,TRUE
