Country,State / Province
Australia,all
Australia,New South Wales
Australia,Queensland
Australia,South Australia
Australia,Victoria
Australia,Western Australia
Denmark,all
France,all
France,Haute-Savoie
Germany,all
Germany,Thüringen
Germany,Brandenburg
Germany,Saarland
Germany,Sachsen
Germany,Bremen
Germany,Mecklenburg-Vorpommern
Germany,Schleswig-Holstein
Germany,Rheinland-Pfalz
Germany,Hamburg
Germany,Hessen
Germany,Niedersachsen
Germany,Berlin
Germany,Baden-Württemberg
Germany,Bayern
Germany,Nordrhein-Westfalen
Germany,Sachsen-Anhalt
Germany,Repatriierte
Germany,Mecklenburg-Vor­pommern
Germany,Schles­wig-Holstein
Germany,Rhein­land-Pfalz
Germany,Baden-Württem­berg
Germany,Nordrhein-West­falen
Germany,Bavaria
Italy,all
Italy,Abruzzo
Italy,Basilicata
Italy,P.A. Bolzano
Italy,Calabria
Italy,Campania
Italy,Emilia Romagna
Italy,Friuli Venezia Giulia
Italy,Lazio
Italy,Liguria
Italy,Lombardia
Italy,Marche
Italy,Molise
Italy,Piemonte
Italy,Puglia
Italy,Sardegna
Italy,Sicilia
Italy,Toscana
Italy,P.A. Trento
Italy,Umbria
Italy,Valle d'Aosta
Italy,Veneto
Singapore,all
Spain,all
Spain,Andalucֳ­a
Spain,Aragֳ³n
Spain,Asturias
Spain,Baleares
Spain,Canarias
Spain,Cantabria
Spain,Castilla-LaMancha
Spain,CastillaLaMancha
Spain,CastillayLeֳ³n
Spain,Cataluֳ±a
Spain,Ceuta
Spain,CValenciana
Spain,Extremadura
Spain,Galicia
Spain,LaRioja
Spain,Madrid
Spain,Melilla
Spain,Murcia
Spain,Navarra
Spain,Paֳ­sVasco
United Kingdom,all
United Kingdom,Rutland
United Kingdom,North East Lincolnshire
United Kingdom,"Kingston upon Hull, City of"
United Kingdom,Blackburn with Darwen
United Kingdom,Isle of Wight
United Kingdom,Middlesbrough
United Kingdom,North Lincolnshire
United Kingdom,Bracknell Forest
United Kingdom,Hartlepool
United Kingdom,Telford and Wrekin
United Kingdom,Peterborough
United Kingdom,Darlington
United Kingdom,Redcar and Cleveland
United Kingdom,Stoke-on-Trent
United Kingdom,Gateshead
United Kingdom,Knowsley
United Kingdom,Blackpool
United Kingdom,South Tyneside
United Kingdom,St. Helens
United Kingdom,Warrington
United Kingdom,"Herefordshire, County of"
United Kingdom,Swindon
United Kingdom,Calderdale
United Kingdom,North Somerset
United Kingdom,Halton
United Kingdom,Bedford
United Kingdom,Solihull
United Kingdom,Southend-on-Sea
United Kingdom,Reading
United Kingdom,Wigan
United Kingdom,Doncaster
United Kingdom,York
United Kingdom,Shropshire
United Kingdom,Sefton
United Kingdom,Northumberland
United Kingdom,West Berkshire
United Kingdom,East Sussex
United Kingdom,Plymouth
United Kingdom,Barnsley
United Kingdom,Southampton
United Kingdom,Stockton-on-Tees
United Kingdom,Wakefield
United Kingdom,Rotherham
United Kingdom,Wirral
United Kingdom,Sunderland
United Kingdom,"Bournemouth, Christchurch and Poole"
United Kingdom,Thurrock
United Kingdom,Bradford
United Kingdom,Windsor and Maidenhead
United Kingdom,Wokingham
United Kingdom,Dorset
United Kingdom,County Durham
United Kingdom,Bury
United Kingdom,Medway
United Kingdom,Luton
United Kingdom,Somerset
United Kingdom,Kirklees
United Kingdom,Cheshire West and Chester
United Kingdom,Bath and North East Somerset
United Kingdom,East Riding of Yorkshire
United Kingdom,Brighton and Hove
