country,state/province,change_date,changed_field,changed_from,changed_to
Israel,all,21/02/2020,exposure_to_patient_isolation,FALSE,TRUE
Israel,all,04/03/2020,congregation_restriction,NONE,5000
Israel,all,09/03/2020,enter_area_isolation,FALSE,TRUE
Israel,all,09/03/2020,prohibition_entering_country,FALSE,TRUE
Israel,all,10/03/2020,congregation_restriction,5000,2000
Israel,all,10/03/2020,limit_hospital_visits,FALSE,TRUE
Israel,all,11/03/2020,congregation_restriction,2000,100
Israel,all,11/03/2020,appearance_of_symptoms_isolation,FALSE,TRUE
Israel,all,11/03/2020,limit_retirement_homes_visits,FALSE,TRUE
Israel,all,11/03/2020,risk_groups_isolation,FALSE,TRUE
Israel,all,12/03/2020,educational_institutions,0,2
Israel,all,15/03/2020,congregation_restriction,100,10
Israel,all,15/03/2020,unnecessary_business,0,2
Israel,all,15/03/2020,religious_institutions,0,1
Israel,all,15/03/2020,distance_saving_instructions,NONE,2
Israel,all,17/03/2020,disinfecting_public_spaces,FALSE,TRUE
Israel,all,17/03/2020,public_transport_restriction,0,1
Israel,all,17/03/2020,partial_quarantine,FALSE,TRUE
Israel,all,19/03/2020,police_army_enforcement,FALSE,TRUE
Israel,all,19/03/2020,fines_and_incarceration,FALSE,TRUE
Israel,all,31/03/2020,religious_institutions,1,2
Israel,all,12/04/2020,encouragement_using_masks,FALSE,TRUE
